material	no.	type of sound change	specific point of sound change	symbol	katakana	explanation	sound *drive	text	Japanese
First Step	1	Special Sound Changes	kitten	/kɪʔn/	ｷﾄｩﾝ	tの音が鼻に抜ける鼻腔破裂（声門閉鎖音）になっています。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	2	Linking	is a	/ɪzə/	ｲｽﾞｧ	zとaが繋がり「ｲｽﾞｧ」になります。		Milo is a very big cat. Milo cannot have kittens. She is fixed. Milo likes to eat. Milo likes to play outside.  Milo likes to hunt for birds.  Milo likes to hunt for mice.  She likes her ears scratched.  Milo likes to sit in my lap.  Milo likes to sleep on my bed.  Milo is a good pet.	Milo is a very big cat. / マイロはとても大きな猫です。 Milo cannot have kittens. / マイロは子猫を産むことができません。 She is fixed. / 彼女は避妊手術を受けています。 Milo likes to eat. / マイロは食べることが好きです。 Milo likes to play outside. / マイロは外で遊ぶのが好きです。 Milo likes to hunt for birds. / マイロは鳥を狩るのが好きです。 Milo likes to hunt for mice. / マイロはネズミを狩るのが好きです。 She likes her ears scratched. / 彼女は耳を撫でてもらうのが好きです。 Milo likes to sit in my lap. / マイロは私の膝の上に乗るのが好きです。 Milo likes to sleep on my bed. / マイロは私のベッドで眠るのが好きです。 Milo is a good pet. / マイロは良いペットです。
First Step	2	Linking	sleep on	/sliːpɑːn/	ｽﾘｰﾎﾟﾝ	pとoが繋がり「ｽﾘｰﾎﾟﾝ」になります。		Milo is a very big cat. Milo cannot have kittens. She is fixed. Milo likes to eat. Milo likes to play outside.  Milo likes to hunt for birds.  Milo likes to hunt for mice.  She likes her ears scratched.  Milo likes to sit in my lap.  Milo likes to sleep on my bed.  Milo is a good pet.	Milo is a very big cat. / マイロはとても大きな猫です。 Milo cannot have kittens. / マイロは子猫を産むことができません。 She is fixed. / 彼女は避妊手術を受けています。 Milo likes to eat. / マイロは食べることが好きです。 Milo likes to play outside. / マイロは外で遊ぶのが好きです。 Milo likes to hunt for birds. / マイロは鳥を狩るのが好きです。 Milo likes to hunt for mice. / マイロはネズミを狩るのが好きです。 She likes her ears scratched. / 彼女は耳を撫でてもらうのが好きです。 Milo likes to sit in my lap. / マイロは私の膝の上に乗るのが好きです。 Milo likes to sleep on my bed. / マイロは私のベッドで眠るのが好きです。 Milo is a good pet. / マイロは良いペットです。
First Step	2	Reduction	good pet	/ɡʊ pɛt/	ｸﾞｯﾍﾟｯﾄ	dが消失し「ｸﾞｯﾍﾟｯﾄ」になります。		Milo is a very big cat. Milo cannot have kittens. She is fixed. Milo likes to eat. Milo likes to play outside.  Milo likes to hunt for birds.  Milo likes to hunt for mice.  She likes her ears scratched.  Milo likes to sit in my lap.  Milo likes to sleep on my bed.  Milo is a good pet.	Milo is a very big cat. / マイロはとても大きな猫です。 Milo cannot have kittens. / マイロは子猫を産むことができません。 She is fixed. / 彼女は避妊手術を受けています。 Milo likes to eat. / マイロは食べることが好きです。 Milo likes to play outside. / マイロは外で遊ぶのが好きです。 Milo likes to hunt for birds. / マイロは鳥を狩るのが好きです。 Milo likes to hunt for mice. / マイロはネズミを狩るのが好きです。 She likes her ears scratched. / 彼女は耳を撫でてもらうのが好きです。 Milo likes to sit in my lap. / マイロは私の膝の上に乗るのが好きです。 Milo likes to sleep on my bed. / マイロは私のベッドで眠るのが好きです。 Milo is a good pet. / マイロは良いペットです。
First Step	2	Flap T	sit in	/sɪrɪn/	ｼﾘﾝ	tが母音に挟まれフラップ化し「ｼﾘﾝ」になります。		Milo is a very big cat. Milo cannot have kittens. She is fixed. Milo likes to eat. Milo likes to play outside.  Milo likes to hunt for birds.  Milo likes to hunt for mice.  She likes her ears scratched.  Milo likes to sit in my lap.  Milo likes to sleep on my bed.  Milo is a good pet.	Milo is a very big cat. / マイロはとても大きな猫です。 Milo cannot have kittens. / マイロは子猫を産むことができません。 She is fixed. / 彼女は避妊手術を受けています。 Milo likes to eat. / マイロは食べることが好きです。 Milo likes to play outside. / マイロは外で遊ぶのが好きです。 Milo likes to hunt for birds. / マイロは鳥を狩るのが好きです。 Milo likes to hunt for mice. / マイロはネズミを狩るのが好きです。 She likes her ears scratched. / 彼女は耳を撫でてもらうのが好きです。 Milo likes to sit in my lap. / マイロは私の膝の上に乗るのが好きです。 Milo likes to sleep on my bed. / マイロは私のベッドで眠るのが好きです。 Milo is a good pet. / マイロは良いペットです。
First Step	2	Special Sound Changes	kittens	/kɪʔnz/	ｷﾄｩﾝｽﾞ	tの音が鼻に抜ける鼻腔破裂（声門閉鎖音）になっています。		Milo is a very big cat. Milo cannot have kittens. She is fixed. Milo likes to eat. Milo likes to play outside.  Milo likes to hunt for birds.  Milo likes to hunt for mice.  She likes her ears scratched.  Milo likes to sit in my lap.  Milo likes to sleep on my bed.  Milo is a good pet.	Milo is a very big cat. / マイロはとても大きな猫です。 Milo cannot have kittens. / マイロは子猫を産むことができません。 She is fixed. / 彼女は避妊手術を受けています。 Milo likes to eat. / マイロは食べることが好きです。 Milo likes to play outside. / マイロは外で遊ぶのが好きです。 Milo likes to hunt for birds. / マイロは鳥を狩るのが好きです。 Milo likes to hunt for mice. / マイロはネズミを狩るのが好きです。 She likes her ears scratched. / 彼女は耳を撫でてもらうのが好きです。 Milo likes to sit in my lap. / マイロは私の膝の上に乗るのが好きです。 Milo likes to sleep on my bed. / マイロは私のベッドで眠るのが好きです。 Milo is a good pet. / マイロは良いペットです。
First Step	3	Linking	name is	/neɪmɪz/	ﾈｲﾐｽﾞ	mとiが繋がり「ﾈｲﾐｽﾞ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	is Ann	/ɪzæn/	ｲｽﾞｧﾝ	zとAが繋がり「ｲｽﾞｧﾝ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	have a	/hævə/	ﾊｳﾞｧ	vとaが繋がり「ﾊｳﾞｧ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	garden is	/ɡɑːrdənɪz/	ｶﾞｰﾃﾞﾆｽﾞ	nとiが繋がり「ｶﾞｰﾃﾞﾆｽﾞ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	is in	/ɪzɪn/	ｲｽﾞｨﾝ	zとiが繋がり「ｲｽﾞｨﾝ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	has a	/hæzə/	ﾊｽﾞｧ	zとaが繋がり「ﾊｽﾞｧ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	types of	/taɪpsəv/	ﾀｲﾌﾟｿｳﾞ	sとoが繋がり「ﾀｲﾌﾟｿｳﾞ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	roses in	/roʊzɪzɪn/	ﾛｳｽﾞｨｽﾞｨﾝ	zとiが繋がり「ﾛｳｽﾞｨｽﾞｨﾝ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	tulips in	/tuːlɪpsɪn/	ﾁｭｰﾘｯﾌﾟｽｨﾝ	sとiが繋がり「ﾁｭｰﾘｯﾌﾟｽｨﾝ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Linking	petunias in	/pəˈtuːniəzɪn/	ﾍﾟﾁｭｰﾆｱｽﾞｨﾝ	zとiが繋がり「ﾍﾟﾁｭｰﾆｱｽﾞｨﾝ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	3	Reduction	front of	/frʌnəv/	ﾌﾛﾅｳﾞ	tが脱落し､nとoが繋がり「ﾌﾛﾅｳﾞ」になります｡		My flower garden. My name is Anne. I love flowers. I have a flower garden. My garden is in front of my house.  My neighbor has a garden too. My garden has different types of flowers.  I have roses in my garden. I have tulips in my garden. I have petunias in my garden.	My flower garden. / 私の花壇。 My name is Anne. / 私の名前はアンです。 I love flowers. / 私は花が大好きです。 I have a flower garden. / 私は花壇を持っています。 My garden is in front of my house. / 私の庭は家の前にあります。 My neighbor has a garden too. / 隣の人も庭を持っています。 My garden has different types of flowers. / 私の庭にはさまざまな種類の花があります。 I have roses in my garden. / 庭にはバラがあります。 I have tulips in my garden. / 庭にはチューリップがあります。 I have petunias in my garden. / 庭にはペチュニアがあります。
First Step	4	Linking	care of	/kɛərəv/	ｹｱﾛｳﾞ	rとoが繋がり「ｹｱﾛｳﾞ」になります｡		My garden has different colors.  I plant red flowers. I plant orange flowers. I plant blue flowers. I plant purple flowers. I take care of my garden. I water my garden every day. I kill the weeds in my garden. I kill insects that eat my flowers.  I love my beautiful garden.	My garden has d I plant red flowers. / 私は赤い花を植えます。 I plant orange flowers. / 私はオレンジ色の花を植えます。 I plant blue flowers. / 私は青い花を植えます。 I plant purple flowers. / 私は紫色の花を植えます。 I take care of my garden. / 私は庭の手入れをします。 I water my garden every day. / 毎日、庭に水をやります。 I kill the weeds in my garden. / 庭の雑草を抜きます。 I kill insects that eat my flowers. / 花を食べる虫を退治します。 I love my beautiful garden. / 私は自分の美しい庭が大好きです。
First Step	4	Linking	weeds in	/wiːdzɪn/	ｳｨｰｽﾞｨﾝ	s(z音)とiが繋がり「ｳｨｰｽﾞｨﾝ」になります｡		My garden has different colors.  I plant red flowers. I plant orange flowers. I plant blue flowers. I plant purple flowers. I take care of my garden. I water my garden every day. I kill the weeds in my garden. I kill insects that eat my flowers.  I love my beautiful garden.	My garden has d I plant red flowers. / 私は赤い花を植えます。 I plant orange flowers. / 私はオレンジ色の花を植えます。 I plant blue flowers. / 私は青い花を植えます。 I plant purple flowers. / 私は紫色の花を植えます。 I take care of my garden. / 私は庭の手入れをします。 I water my garden every day. / 毎日、庭に水をやります。 I kill the weeds in my garden. / 庭の雑草を抜きます。 I kill insects that eat my flowers. / 花を食べる虫を退治します。 I love my beautiful garden. / 私は自分の美しい庭が大好きです。
First Step	4	Linking	that eat	/ðæriːt/	ｻﾞﾘｰﾄ	tが母音に挟まれﾌﾗｯﾌﾟ化しつつeatと繋がり「ｻﾞﾘｰﾄ」になります｡		My garden has different colors.  I plant red flowers. I plant orange flowers. I plant blue flowers. I plant purple flowers. I take care of my garden. I water my garden every day. I kill the weeds in my garden. I kill insects that eat my flowers.  I love my beautiful garden.	My garden has d I plant red flowers. / 私は赤い花を植えます。 I plant orange flowers. / 私はオレンジ色の花を植えます。 I plant blue flowers. / 私は青い花を植えます。 I plant purple flowers. / 私は紫色の花を植えます。 I take care of my garden. / 私は庭の手入れをします。 I water my garden every day. / 毎日、庭に水をやります。 I kill the weeds in my garden. / 庭の雑草を抜きます。 I kill insects that eat my flowers. / 花を食べる虫を退治します。 I love my beautiful garden. / 私は自分の美しい庭が大好きです。
First Step	4	Flap T	water	/ˈwɔːrər/	ﾜｰﾗｰ	tが母音に挟まれﾌﾗｯﾌﾟ化し「ﾜｰﾗｰ」になります｡		My garden has different colors.  I plant red flowers. I plant orange flowers. I plant blue flowers. I plant purple flowers. I take care of my garden. I water my garden every day. I kill the weeds in my garden. I kill insects that eat my flowers.  I love my beautiful garden.	My garden has d I plant red flowers. / 私は赤い花を植えます。 I plant orange flowers. / 私はオレンジ色の花を植えます。 I plant blue flowers. / 私は青い花を植えます。 I plant purple flowers. / 私は紫色の花を植えます。 I take care of my garden. / 私は庭の手入れをします。 I water my garden every day. / 毎日、庭に水をやります。 I kill the weeds in my garden. / 庭の雑草を抜きます。 I kill insects that eat my flowers. / 花を食べる虫を退治します。 I love my beautiful garden. / 私は自分の美しい庭が大好きです。
First Step	4	Flap T	beautiful	/ˈbjuːrɪfəl/	ﾋﾞｭｰﾘﾌﾙ	tが母音に挟まれﾌﾗｯﾌﾟ化し「ﾋﾞｭｰﾘﾌﾙ」になります｡		My garden has different colors.  I plant red flowers. I plant orange flowers. I plant blue flowers. I plant purple flowers. I take care of my garden. I water my garden every day. I kill the weeds in my garden. I kill insects that eat my flowers.  I love my beautiful garden.	My garden has d I plant red flowers. / 私は赤い花を植えます。 I plant orange flowers. / 私はオレンジ色の花を植えます。 I plant blue flowers. / 私は青い花を植えます。 I plant purple flowers. / 私は紫色の花を植えます。 I take care of my garden. / 私は庭の手入れをします。 I water my garden every day. / 毎日、庭に水をやります。 I kill the weeds in my garden. / 庭の雑草を抜きます。 I kill insects that eat my flowers. / 花を食べる虫を退治します。 I love my beautiful garden. / 私は自分の美しい庭が大好きです。
