category	category 2	point	word	phonetic symbol	katakana	translation	video_url 1	video_url 2	video_url 3	video_url 4	video_url 5	video_url 6	explain		
あ	a vs u	明るい「あ」 vs 暗い「あ」	hat / hut	/hæt/ / /hʌt/	ﾊｯﾄ/ﾊｯﾄ	帽子/小屋									
あ	a vs u	明るい「あ」 vs 暗い「あ」	cap / cup	/kæp/ / /kʌp/	ｷｬｯﾌﾟ/ｶｯﾌﾟ	キャップ/コップ									
あ	a vs u	明るい「あ」 vs 暗い「あ」	fan / fun	/fæn/ / /fʌn/	ﾌｧﾝ/ﾌｧﾝ	うちわ/楽しみ									
あ	a vs u	明るい「あ」 vs 暗い「あ」	ankle / uncle	/ˈæŋkl/ / /ˈʌŋkl/	ｱﾝｸﾙ/ｱﾝｸﾙ	足首/おじ									
あ	a vs u	明るい「あ」 vs 暗い「あ」	staff / stuff	/stæf/ / /stʌf/	ｽﾀｯﾌ/ｽﾀｯﾌ	職員/もの									
あ	ar	明るい「あー」	car	/kɑːr/	ｶｰ	車	<iframe width="640" height="360" src="https://www.youtube.com/embed/Cgkfj34a1O4" title="『あいうえおフォニックス』英語発音 あかるい　あー　ar　のフォニックス  [#3]" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>						<div class="space-y-6"><h2 class="text-xl font-black text-slate-900 border-b-2 border-slate-900 pb-2">「あかるい あー ar」の発音</h2><section> <h3 class="font-bold text-lg text-slate-800 mb-2">1. 音の概要</h3> <p class="mb-3">英語の「ar」は、スペル通り「A」に「R」が組み合わさった音です。</p> <ul class="space-y-3 pl-2"> <li class="flex gap-2"><span class="text-slate-900">•</span><div><strong>特徴</strong>：数ある「R」の音の中でも、最も簡単で「あかるい」響きを持つ音です。</div></li> <li class="flex gap-2"><span class="text-slate-900">•</span><div><strong>単語</strong>：<span class="manual-code">car</span>、<span class="manual-code">art</span>、<span class="manual-code">park</span>、<span class="manual-code">arm</span>。</div></li> </ul> </section><hr class="border-slate-100"><section> <h3 class="font-bold text-lg text-slate-800 mb-2">2. 音の出し方</h3> <p class="mb-4">「R」が入っていますが、実は日本語の感覚をそのまま活かせる発音です。</p> <div class="space-y-4"> <div class="flex gap-3"> <span class="w-6 h-6 rounded-full bg-slate-900 text-white flex shrink-0 items-center justify-center text-xs font-bold">1</span> <div><strong>口・舌・喉・息の使い方</strong><p class="mt-1 text-sm">「R」の音を出す際に、舌を巻いて発音しても良いですが、実は巻かなくても大丈夫です。日本語の「あー」と同じように声を出すだけで、十分に伝わる音になります。</p></div> </div> <div class="flex gap-3"> <span class="w-6 h-6 rounded-full bg-slate-900 text-white flex shrink-0 items-center justify-center text-xs font-bold">2</span> <div><strong>意識する音の響き・リズム</strong><p class="mt-1 text-sm">「あ」の音をそのまま素直に伸ばす、明るい響きを意識しましょう。難しく考えず、リラックスして「あー」と発音するのがコツです。</p></div> </div> </div> </section><hr class="border-slate-100"><section class="pb-6"> <h3 class="font-bold text-lg text-slate-800 mb-2">3. 日本人が意識すべきポイント</h3> <div class="space-y-5"> <div class="flex gap-3"><span class="w-6 h-6 rounded-full bg-slate-100 text-slate-500 flex shrink-0 items-center justify-center text-xs font-bold">!</span><div><strong>似ている音との違い</strong>:<p class="mt-1 text-sm">「あかるい ar」の他に「くらい ur」という音も存在します。また、<span class="manual-code">ear</span> で始まると「いぁ」、語尾が <span class="manual-code">are</span> になると「えぁ」と読むことが多いので、綴りによる変化に注意しましょう。</p></div></div> <div class="flex gap-3"><span class="w-6 h-6 rounded-full bg-slate-100 text-slate-500 flex shrink-0 items-center justify-center text-xs font-bold">!</span><div><strong>カタカナ英語との違い</strong>:<p class="mt-1 text-sm">この音に関しては、日本語の「あー」で全く問題ありません。ただし、例外として <span class="manual-code">war</span>、<span class="manual-code">warm</span>、<span class="manual-code">warning</span> のように「w」の後に続く場合は、「うぉー」という音に変わる点だけ気をつけてください。</p></div></div> </div> </section> </div>		
あ	ar	明るい「あー」	star	/stɑːr/	ｽﾀｰ	星									
あ	ar	明るい「あー」	park	/pɑːrk/	ﾊﾟｰｸ	公園									
あ	ar	明るい「あー」	hard	/hɑːrd/	ﾊｰﾄﾞ	硬い・難しい									
あ	ar	明るい「あー」	card	/kɑːrd/	ｶｰﾄﾞ	カード									
あ	ar	明るい「あー」	party	/ˈpɑːrti/	ﾊﾟｰﾃｨｰ	パーティー									
あ	ur	暗い「あー」	burn	/bɜːrn/	ﾊﾞｰﾝ	焼く	<iframe width="640" height="360" src="https://www.youtube.com/embed/KbIq5UraBfU" title="『あいうえおフォニックス』英語発音 くらい　あー　ur　のフォニックス  [#6]" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>						<div class="space-y-6"><h2 class="text-xl font-black text-slate-900 border-b-2 border-slate-900 pb-2">「くらい あー ur」の発音</h2><section> <h3 class="font-bold text-lg text-slate-800 mb-2">1. 音の概要</h3> <p class="mb-3">英語の「ur」は、日本語の「あ」よりも低くこもった響きを持つ音です。</p> <ul class="space-y-3 pl-2"> <li class="flex gap-2"><span class="text-slate-900">•</span><div><strong>特徴</strong>：「くらい あ（u）」に「r」が組み合わさった音で、猫が喉をゴロゴロ鳴らすような低い音が特徴です。</div></li> <li class="flex gap-2"><span class="text-slate-900">•</span><div><strong>単語</strong>：<span class="manual-code">turn</span>、<span class="manual-code">burn</span>、<span class="manual-code">surf</span>、<span class="manual-code">fur</span>。</div></li> </ul> </section><hr class="border-slate-100"><section> <h3 class="font-bold text-lg text-slate-800 mb-2">2. 音の出し方</h3> <p class="mb-4">喉の奥から響かせるイメージを持つことで、ネイティブに近い「ur」の音になります。</p> <div class="space-y-4"> <div class="flex gap-3"> <span class="w-6 h-6 rounded-full bg-slate-900 text-white flex shrink-0 items-center justify-center text-xs font-bold">1</span> <div><strong>口・舌・喉・息の使い方</strong><p class="mt-1 text-sm">喉の奥を意識して、猫が喉を「ゴロゴロ」と鳴らしているときのような、低くこもった音を出すように意識します。</p></div> </div> <div class="flex gap-3"> <span class="w-6 h-6 rounded-full bg-slate-900 text-white flex shrink-0 items-center justify-center text-xs font-bold">2</span> <div><strong>意識する音の響き・リズム</strong><p class="mt-1 text-sm">この「くらい あー」の音は、「ur」という綴りだけでなく、「ir」や「er」でも同じ音として発音されることが多いため、まとめて覚えるのが効率的です。</p></div> </div> </div> </section><hr class="border-slate-100"><section class="pb-6"> <h3 class="font-bold text-lg text-slate-800 mb-2">3. 日本人が意識すべきポイント</h3> <div class="space-y-5"> <div class="flex gap-3"><span class="w-6 h-6 rounded-full bg-slate-100 text-slate-500 flex shrink-0 items-center justify-center text-xs font-bold">!</span><div><strong>似ている音との違い</strong>:<p class="mt-1 text-sm">開放的な「あかるい ar」に対し、この音は「暗い R」の音であることを意識して使い分けましょう。</p></div></div> <div class="flex gap-3"><span class="w-6 h-6 rounded-full bg-slate-100 text-slate-500 flex shrink-0 items-center justify-center text-xs font-bold">!</span><div><strong>カタカナ英語との違い</strong>:<p class="mt-1 text-sm">毛皮を意味する <span class="manual-code">fur</span> は、カタカナでは「ファー」と表記されますが、綴りに引きずられて「フュー」と発音しないように注意が必要です。</p></div></div> </div> </section> </div>		
あ	ur	暗い「あー」	turn	/tɜːrn/	ﾀｰﾝ	曲がる・順番									
あ	ur	暗い「あー」	nurse	/nɜːrs/	ﾅｰｽ	看護師									
あ	ur	暗い「あー」	surf	/sɜːrf/	ｻｰﾌ	波乗り									
あ	ur	暗い「あー」	church	/tʃɜːrtʃ/	ﾁｬｰﾁ	教会									
あ	ur	暗い「あー」	purple	/ˈpɜːrpl/	ﾊﾟｰﾌﾟﾙ	紫									
あ	ir	暗い「あー」	bird	/bɜːrd/	ﾊﾞｰﾄﾞ	鳥	<iframe width="640" height="360" src="https://www.youtube.com/embed/o9Gst7AQwFk" title="『あいうえおフォニックス』英語発音 くらい　あー　ir　のフォニックス  [#5]" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>						<div class="space-y-6"><h2 class="text-xl font-black text-slate-900 border-b-2 border-slate-900 pb-2">「くらい あー ir」の発音</h2><section> <h3 class="font-bold text-lg text-slate-800 mb-2">1. 音の概要</h3> <p class="mb-3">英語の「ir」は、スペルに惑わされやすいですが、実は「ur」と同じように低くこもった音で発音します。</p> <ul class="space-y-3 pl-2"> <li class="flex gap-2"><span class="text-slate-900">•</span><div><strong>特徴</strong>：綴りは「ir」と書きますが、rが威張って前の母音を無視するため、母音の「i」の音を出さずに「あー」と発音します。これを「Bossy R」と呼ぶこともあります。</div></li> <li class="flex gap-2"><span class="text-slate-900">•</span><div><strong>単語</strong>：<span class="manual-code">first</span>、<span class="manual-code">girl</span>、<span class="manual-code">bird</span>、<span class="manual-code">shirt</span>。</div></li> </ul> </section><hr class="border-slate-100"><section> <h3 class="font-bold text-lg text-slate-800 mb-2">2. 音の出し方</h3> <p class="mb-4">ローマ字読みに引っ張られないことが、正しい音を出すための最大の秘訣です。</p> <div class="space-y-4"> <div class="flex gap-3"> <span class="w-6 h-6 rounded-full bg-slate-900 text-white flex shrink-0 items-center justify-center text-xs font-bold">1</span> <div><strong>口・舌・喉・息の使い方</strong><p class="mt-1 text-sm">綴りにある「i」の音を無視して、最初からrの響きを意識した「あー」という音を出します。喉の奥を低く響かせるように意識しましょう。</p></div> </div> <div class="flex gap-3"> <span class="w-6 h-6 rounded-full bg-slate-900 text-white flex shrink-0 items-center justify-center text-xs font-bold">2</span> <div><strong>意識する音の響き・リズム</strong><p class="mt-1 text-sm">「くらい あー」という名称の通り、明るく弾む音ではなく、低くこもった重たい響きを保つことが大切です。</p></div> </div> </div> </section><hr class="border-slate-100"><section class="pb-6"> <h3 class="font-bold text-lg text-slate-800 mb-2">3. 日本人が意識すべきポイント</h3> <div class="space-y-5"> <div class="flex gap-3"><span class="w-6 h-6 rounded-full bg-slate-100 text-slate-500 flex shrink-0 items-center justify-center text-xs font-bold">!</span><div><strong>似ている音との違い</strong>:<p class="mt-1 text-sm">一見ローマ字のように「スティア」と読みたくなりますが、実際は「あー」と読みます。母音を読まずにrの音を優先させる感覚を掴みましょう。</p></div></div> <div class="flex gap-3"><span class="w-6 h-6 rounded-full bg-slate-100 text-slate-500 flex shrink-0 items-center justify-center text-xs font-bold">!</span><div><strong>カタカナ英語との違い</strong>:<p class="mt-1 text-sm">日本語の「ガール」や「バースデー」のように口をはっきり開けた「アー」では英語らしく聞こえません。低くこもった独特の「くらい あー」の響きを忘れずに意識しましょう。</p></div></div> </div> </section> </div>		done
あ	ir	暗い「あー」	girl	/ɡɜːrl/	ｶﾞｰﾙ	女の子									
あ	ir	暗い「あー」	shirt	/ʃɜːrt/	ｼｬﾂ	シャツ									
あ	ir	暗い「あー」	skirt	/skɜːrt/	ｽｶｰﾄ	スカート									
あ	ir	暗い「あー」	circle	/ˈsɜːrkl/	ｻｰｸﾙ	円									
あ	ir	暗い「あー」	third	/θɜːrd/	ｻｰﾄﾞ	3番目									
あ	er	暗い「あー」	her	/hər/	ﾊｰ	彼女の	<iframe width="640" height="360" src="https://www.youtube.com/embed/Ubv4J0gisxc" title="『あいうえおフォニックス』英語発音 くらい　あー　er　のフォニックス [#4]" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>						<div class="space-y-6"><h2 class="text-xl font-black text-slate-900 border-b-2 border-slate-900 pb-2">「くらい あー er」の発音</h2><section> <h3 class="font-bold text-lg text-slate-800 mb-2">1. 音の概要</h3> <p class="mb-3">英語の「er」は、日本語の「あー」よりもやる気のない、あいまいに聞こえる音です 。</p> <ul class="space-y-3 pl-2"> <li class="flex gap-2"><span class="text-slate-900">•</span><div><strong>特徴</strong>：口をあまり開けずに、あいまいに発音する「くらい」響きが特徴です 。</div></li> <li class="flex gap-2"><span class="text-slate-900">•</span><div><strong>単語</strong>：<span class="manual-code">mother</span> 、<span class="manual-code">father</span> 、<span class="manual-code">teacher</span> 、<span class="manual-code">singer</span> 。</div></li> </ul> </section><hr class="border-slate-100"><section> <h3 class="font-bold text-lg text-slate-800 mb-2">2. 音の出し方</h3> <p class="mb-4">完璧な音を目指すよりも、リラックスして「やる気のない感じ」を出すのがポイントです 。</p> <div class="space-y-4"> <div class="flex gap-3"> <span class="w-6 h-6 rounded-full bg-slate-900 text-white flex shrink-0 items-center justify-center text-xs font-bold">1</span> <div><strong>口・舌・喉・息の使い方</strong><p class="mt-1 text-sm">口は大きく開けようとせず、あいまいに発音することを意識します 。舌や口の形をきっちり決めすぎないのがコツです 。</p></div> </div> <div class="flex gap-3"> <span class="w-6 h-6 rounded-full bg-slate-900 text-white flex shrink-0 items-center justify-center text-xs font-bold">2</span> <div><strong>意識する音の響き</strong><p class="mt-1 text-sm">「あー、明日は学校か……」とつぶやくときのような、やる気のない「あー」という響きをイメージしてください 。この「くらい」響きの音は、英語では非常によく使われます 。</p></div> </div> </div> </section><hr class="border-slate-100"><section class="pb-6"> <h3 class="font-bold text-lg text-slate-800 mb-2">3. 日本人が意識すべきポイント</h3> <div class="space-y-5"> <div class="flex gap-3"><span class="w-6 h-6 rounded-full bg-slate-100 text-slate-500 flex shrink-0 items-center justify-center text-xs font-bold">!</span><div><strong>似ている音との違い</strong>:<p class="mt-1 text-sm">はっきりと明るく出す「ar」の音とは異なり、こちらは「くらい」音です 。綴りは「er」のほかに「or」で終わる単語もこの音になることがあります 。</p></div></div> <div class="flex gap-3"><span class="w-6 h-6 rounded-full bg-slate-100 text-slate-500 flex shrink-0 items-center justify-center text-xs font-bold">!</span><div><strong>カタカナ英語との違い</strong>:<p class="mt-1 text-sm">カタカナの「ティーチャー」や「シンガー」のように語尾をはっきり「アー」と伸ばすのではなく、脱力して短くあいまいに発音するのが英語らしい響きになります 。</p></div></div> </div> </section> </div>		
あ	er	暗い「あー」	teacher	/ˈtiːtʃər/	ﾃｨｰﾁｬｰ	先生									
あ	er	暗い「あー」	water	/ˈwɔːtər/	ｳｫｰﾀｰ	水									
あ	er	暗い「あー」	computer	/kəmˈpjuːtər/	ｺﾝﾋﾟｭｰﾀｰ	コンピューター									
あ	er	暗い「あー」	player	/ˈpleɪər/	ﾌﾟﾚｰﾔｰ	選手									
あ	er	暗い「あー」	dinner	/ˈdɪnər/	ﾃﾞｨﾅｰ	夕食									
